Dia;Mes;Año;Fecha;Tmax;Tmin;PP
1;1;1987;1/1/1987;23,3;16,2;3,5
2;1;1987;2/1/1987;22,5;14,8;1,4
3;1;1987;3/1/1987;24,2;16,6;0
4;1;1987;4/1/1987;26,9;18,5;1
5;1;1987;5/1/1987;27,9;16,3;85,5
6;1;1987;6/1/1987;24,6;16,4;0
7;1;1987;7/1/1987;24;17,5;19
8;1;1987;8/1/1987;28,1;17,5;3,4
9;1;1987;9/1/1987;27,4;19,5;77,1
10;1;1987;10/1/1987;24,4;17;25
11;1;1987;11/1/1987;25,9;17,6;34
12;1;1987;12/1/1987;22,4;17,5;2,5
13;1;1987;13/1/1987;26,9;17,1;0
14;1;1987;14/1/1987;25,7;18,9;98
15;1;1987;15/1/1987;21,6;17,2;20,5
16;1;1987;16/1/1987;23,9;17,5;0
17;1;1987;17/1/1987;26,9;17,8;0,9
18;1;1987;18/1/1987;29,1;17,9;13
19;1;1987;19/1/1987;28,9;18;0
20;1;1987;20/1/1987;27,4;16,4;2,9
21;1;1987;21/1/1987;27,7;17,7;9
22;1;1987;22/1/1987;27,5;16,8;0
23;1;1987;23/1/1987;27,3;18,1;9
24;1;1987;24/1/1987;26,7;17,6;1,7
25;1;1987;25/1/1987;22,1;16,7;9,6
26;1;1987;26/1/1987;24;16,5;1
27;1;1987;27/1/1987;26,9;17,5;6
28;1;1987;28/1/1987;28,9;18,7;0
29;1;1987;29/1/1987;29,5;18;0
30;1;1987;30/1/1987;29,2;18,7;7
31;1;1987;31/1/1987;26,5;16,3;0
1;2;1987;1/2/1987;27;17,7;0,6
2;2;1987;2/2/1987;27,6;16,2;0
3;2;1987;3/2/1987;26,9;16,7;3,5
4;2;1987;4/2/1987;29;14,1;0
5;2;1987;5/2/1987;29,3;15,7;0
6;2;1987;6/2/1987;30,6;17,2;3,5
7;2;1987;7/2/1987;29,4;19;22
8;2;1987;8/2/1987;11;9,6;1,5
9;2;1987;9/2/1987;19,4;6,5;0
10;2;1987;10/2/1987;19,5;10,3;0
11;2;1987;11/2/1987;23,3;8,6;0
12;2;1987;12/2/1987;25,3;11;0
13;2;1987;13/2/1987;26;12,6;0
14;2;1987;14/2/1987;26,5;15;0
15;2;1987;15/2/1987;26,2;14,6;13
16;2;1987;16/2/1987;22,6;15,8;2
17;2;1987;17/2/1987;25;13,5;0,5
18;2;1987;18/2/1987;24,5;14,6;0,7
19;2;1987;19/2/1987;25,5;13,6;0,2
20;2;1987;20/2/1987;27,9;14,4;0
21;2;1987;21/2/1987;29,3;16,5;0
22;2;1987;22/2/1987;27,3;17;0
23;2;1987;23/2/1987;29,8;16,3;0
24;2;1987;24/2/1987;29,2;18,5;0
25;2;1987;25/2/1987;30;19,8;0
26;2;1987;26/2/1987;27,7;19,9;17
27;2;1987;27/2/1987;28,6;19,2;0
28;2;1987;28/2/1987;29,8;19,2;0
1;3;1987;1/3/1987;30,2;17,8;0
2;3;1987;2/3/1987;30,1;16,6;0
3;3;1987;3/3/1987;29,9;18,2;0
4;3;1987;4/3/1987;29,5;16,3;63,5
5;3;1987;5/3/1987;28,3;15,6;0
6;3;1987;6/3/1987;30;16,9;0
7;3;1987;7/3/1987;30,6;16,7;0
8;3;1987;8/3/1987;28,6;17,6;5
9;3;1987;9/3/1987;13,8;13,8;31,5
10;3;1987;10/3/1987;18,5;10,2;0
11;3;1987;11/3/1987;20,9;11,5;0
12;3;1987;12/3/1987;22;10,2;0
13;3;1987;13/3/1987;24;10,6;0
14;3;1987;14/3/1987;24,4;12;0
15;3;1987;15/3/1987;22,9;13,4;0
16;3;1987;16/3/1987;22,1;13,1;0
17;3;1987;17/3/1987;25,9;12,2;0
18;3;1987;18/3/1987;27,1;14,3;3
19;3;1987;19/3/1987;26,4;14,2;3
20;3;1987;20/3/1987;22,8;16,2;0
21;3;1987;21/3/1987;15,8;21,9;0
22;3;1987;22/3/1987;24,1;16,4;0
23;3;1987;23/3/1987;27,4;14,9;0
24;3;1987;24/3/1987;27,2;17,2;0
25;3;1987;25/3/1987;26,5;16,2;0
26;3;1987;26/3/1987;22,1;15,7;8,5
27;3;1987;27/3/1987;24,1;13,7;0
28;3;1987;28/3/1987;25,9;14,2;0
29;3;1987;29/3/1987;26,9;15,9;0,5
30;3;1987;30/3/1987;17,9;14,8;5,5
31;3;1987;31/3/1987;17,3;14,2;0,5
1;4;1987;1/4/1987;22,6;11,7;0
2;4;1987;2/4/1987;22,7;14,2;0
3;4;1987;3/4/1987;23,6;11,2;0
4;4;1987;4/4/1987;23,4;10,6;0
5;4;1987;5/4/1987;21,4;11,9;0
6;4;1987;6/4/1987;25,7;13,5;0
7;4;1987;7/4/1987;28,3;13,6;0
8;4;1987;8/4/1987;29,7;14,5;0
9;4;1987;9/4/1987;22,3;18,6;7
10;4;1987;10/4/1987;19,7;11,5;0
11;4;1987;11/4/1987;23;13,2;0
12;4;1987;12/4/1987;22;13,5;0
13;4;1987;13/4/1987;22,6;10,9;0
14;4;1987;14/4/1987;21,9;14,6;0
