Año;Mes;PromedioTmedia
1987;1;21,73
1987;2;20,67
1987;3;19,77
1987;4;16,91
1987;5;10,7
1987;6;11,73
1987;7;14,49
1987;8;13,22
1987;9;15,15
1987;10;19,4
1987;11;21,29
1987;12;20,17
1988;1;21,85
1988;2;19,88
1988;3;21,25
1988;4;16,82
1988;5;11,27
1988;6;10,24
1988;7;8,85
1988;8;14,11
1988;9;14,94
1988;10;17,94
1988;11;21,6
1988;12;22,1
1989;1;21,4
1989;2;22,16
1989;3;19,41
1989;4;16,99
1989;5;12,65
1989;6;13,39
1989;7;11,4
1989;8;14,71
1989;9;14,25
1989;10;18,65
1989;11;20,87
1989;12;22,16
1990;1;21,9
1990;2;20,39
1990;3;20,17
1990;4;17,55
1990;5;13,69
1990;6;10,77
1990;7;10,23
1990;8;15,67
1990;9;14,11
1990;10;19,49
1990;11;21,19
1990;12;20,74
1991;1;20,62
1991;2;19,99
1991;3;20,16
1991;4;17,69
1991;5;15,77
1991;6;12,26
1991;7;11,6
1991;8;13,16
1991;9;15,99
1991;10;17,38
1991;11;19,05
1991;12;21,85
1992;1;20,75
1992;2;20,28
1992;3;20,05
1992;4;17,38
1992;5;13,73
1992;6;13,13
1992;7;8,05
1992;8;13,28
1992;9;14,94
1992;10;18,69
1992;11;19,07
1992;12;21,3
1993;1;21,21
1993;2;19,1
1993;3;20,01
1993;4;16,62
1993;5;13,4
1993;6;11,94
1993;7;9,54
1993;8;13,61
1993;9;14,53
1993;10;18,63
1993;11;20,52
1993;12;21,39
1994;1;21,6
1994;2;19,67
1994;3;19
1994;4;16,07
1994;5;16,52
1994;6;13,27
1994;7;11,65
1994;8;14,14
1994;9;18,24
1994;10;19,44
1994;11;20,48
1994;12;23,18
1995;1;21,76
1995;2;20,31
1995;3;19,85
1995;4;17,01
1995;5;14,76
1995;6;13,78
1995;7;12,01
1995;8;13,26
1995;9;16,05
1995;10;18,91
1995;11;21
1995;12;22,25
1996;1;21,44
1996;2;21,36
1996;3;19,61
1996;4;17,23
1996;5;15,25
1996;6;9,74
1996;7;10,21
1996;8;15,4
1996;9;14,83
1996;10;18,98
1996;11;20,45
1996;12;21,84
1997;1;22,68
1997;2;20,01
1997;3;19,69
1997;4;18,03
1997;5;14,8
1997;6;12,99
1997;7;13,93
1997;8;14,48
1997;9;18,42
1997;10;20
1997;11;21,14
1997;12;23,24
1998;1;22,7
1998;2;20,38
1998;3;19,21
1998;4;16,4
1998;5;14,3
1998;6;11,86
1998;7;13,48
1998;8;12,64
1998;9;15,19
1998;10;19,02
1998;11;19,44
1998;12;21,14
1999;1;19,96
1999;2;21,71
1999;3;20,5
1999;4;15,27
1999;5;13,95
1999;6;11,44
1999;7;9,72
1999;8;13,77
1999;9;18,52
1999;10;18,01
1999;11;18,55
1999;12;21,45
2000;1;22,13
2000;2;20,97
2000;3;19,09
2000;4;18,31
2000;5;13,38
2000;6;12,24
2000;7;9,5
2000;8;14,37
2000;9;15,51
2000;10;20,35
2000;11;19,48
2000;12;21,91
2001;1;22,57
2001;2;22,47
2001;3;21,16
2001;4;17,17
2001;5;12,77
2001;6;12,33
2001;7;12,8
2001;8;15,83
2001;9;15,27
2001;10;19,17
2001;11;19,75
2001;12;20,88
2002;1;21,46
2002;2;20,69
2002;3;21,8
2002;4;16,99
2002;5;16,38
2002;6;10,68
2002;7;11,51
2002;8;15,82
2002;9;17,3
2002;10;21,7
2002;11;21,59
2002;12;21,2
2003;1;22,14
2003;2;21,52
2003;3;20,36
2003;4;17,77
